frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.954659, 1, -41.8691, 31.667, 558.772, 12.582, 6.16271, -1.06965
2, 0.0666667, 0.954925, 1, -41.5863, 31.0534, 555.298, 15.324, 6.15271, -0.884459
3, 0.133333, 0.955336, 1, -41.3747, 30.656, 553.763, 16.9364, 6.02758, -0.699322
4, 0.2, 0.955625, 1, -41.2709, 30.4192, 552.554, 17.4833, 6.02271, -0.624011
5, 0.266667, 0.957005, 1, -41.4246, 30.3549, 553.379, 17.2302, 6.00824, -0.531141
6, 0.333333, 0.956554, 1, -41.6027, 30.3836, 552.859, 17.4649, 6.04442, -0.593463
7, 0.4, 0.953748, 1, -41.8844, 30.6639, 553.33, 17.6509, 6.15562, -0.671321
8, 0.466667, 0.951121, 1, -42.126, 30.7338, 553.863, 17.7027, 6.15157, -0.770688
9, 0.533333, 0.956065, 1, -42.3383, 30.5391, 553.782, 17.4822, 6.26332, -0.823245
10, 0.6, 0.95833, 1, -42.4451, 30.3754, 553.666, 17.131, 6.20611, -0.817272
11, 0.666667, 0.956237, 1, -42.482, 30.2664, 553.066, 17.1893, 6.2034, -0.835769
12, 0.733333, 0.956203, 1, -42.6462, 30.2252, 553.087, 17.0989, 6.30024, -0.858973
13, 0.8, 0.953247, 1, -42.7399, 30.1321, 552.595, 17.1001, 6.25633, -0.89483
14, 0.866667, 0.956291, 1, -42.8577, 30.1029, 552.637, 17.2162, 6.37213, -0.908279
15, 0.933333, 0.956587, 1, -42.6012, 30.1398, 552.499, 17.0976, 6.32455, -0.669046
16, 1, 0.956645, 1, -42.4719, 30.3005, 552.918, 17.0545, 6.26629, -0.636732
17, 1.06667, 0.954654, 1, -42.423, 30.455, 552.66, 17.2347, 6.26541, -0.62505
18, 1.13333, 0.954178, 1, -42.3059, 30.5068, 552.735, 17.1776, 6.2504, -0.524843
19, 1.2, 0.955951, 1, -42.0332, 30.4224, 552.094, 17.055, 6.1387, -0.43941
20, 1.26667, 0.956821, 1, -41.7905, 30.4307, 551.929, 17.1904, 6.08634, -0.416131
21, 1.33333, 0.958151, 1, -41.6029, 30.4243, 551.825, 17.1331, 6.03152, -0.381729
22, 1.4, 0.958437, 1, -41.4333, 30.4723, 551.978, 17.1615, 5.98131, -0.331973
23, 1.46667, 0.954718, 1, -41.3018, 30.5117, 552.004, 17.0638, 5.94823, -0.287112
24, 1.53333, 0.953746, 1, -41.082, 30.4914, 551.194, 17.1579, 5.81576, -0.251893
25, 1.6, 0.952828, 1, -40.9907, 30.5271, 550.827, 17.1925, 5.73447, -0.243544
26, 1.66667, 0.954064, 1, -41.0481, 30.597, 550.761, 17.1983, 5.76903, -0.247357
27, 1.73333, 0.953646, 1, -41.0902, 30.675, 550.747, 17.3004, 5.78773, -0.275385
28, 1.8, 0.95632, 1, -41.1283, 30.741, 550.635, 17.2386, 5.71228, -0.266507
29, 1.86667, 0.958516, 1, -41.155, 30.8163, 550.895, 17.3194, 5.76599, -0.278864
30, 1.93333, 0.956365, 1, -41.1273, 30.8529, 550.756, 17.2858, 5.75717, -0.275234
31, 2, 0.95654, 1, -41.1384, 30.9178, 550.867, 17.3086, 5.77784, -0.284993
32, 2.06667, 0.954961, 1, -41.0787, 30.9671, 550.801, 17.2937, 5.78711, -0.268625
33, 2.13333, 0.953175, 1, -41.0014, 31.0229, 550.709, 17.4381, 5.74443, -0.250905
34, 2.2, 0.952971, 1, -41.011, 31.0841, 551.068, 17.4258, 5.7487, -0.202004
35, 2.26667, 0.954272, 1, -40.9909, 31.1359, 551.485, 17.3861, 5.6943, -0.188695
36, 2.33333, 0.956076, 1, -40.9771, 31.1847, 550.998, 17.5341, 5.65506, -0.260621
37, 2.4, 0.954555, 1, -41.0886, 31.2671, 551.085, 17.6557, 5.77209, -0.279701
